Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/preauth/decision,23930,0,980.0,968.9424038725881,51.62266699971951,1323.069416999715,386.0,200.8825869850716,0.0,980,990,1000,1000,1000,1100,1100,1100,1200,1300,1300
,Aggregated,23930,0,980.0,968.9424038725881,51.62266699971951,1323.069416999715,386.0,200.8825869850716,0.0,980,990,1000,1000,1000,1100,1100,1100,1200,1300,1300
